course_id,course_name,level,fees,currency,duration_years,semesters,intake,credits,description,image
PHD-PHD-IN-COM,Doctor of Philosophy in Computer Science (Research),PhD,68944,MYR,,,,,,
PHD-PHD-IN-COM-1,Doctor of Philosophy in Computer Science (Research) (Prior Publication),PhD,49562,MYR,,,,,,
MST-MST-IN-DES,MASTER OF DESIGN (RESEARCH),Master,50694,MYR,,,,,,
PHD-PHD-IN-DES,DOCTOR OF PHILOSOPHY IN DESIGN MANAGEMENT (RESEARCH),PhD,68944,MYR,,,,,,
PHD-PHD-IN-DES-1,DOCTOR OF PHILOSOPHY IN DESIGN MANAGEMENT (RESEARCH) (PRIOR PUBLICATION),PhD,49562,MYR,,,,,,
CER-GEN-IN-POS,POSTGRADUATE CERTIFICATE IN TEACHING AND LEARNING,Certificate,35474,MYR,,,,,,
MST-MST-IN-TEA,MASTER OF TEACHING AND LEARNING,Master,55684,MYR,,,,,,
MST-MST-IN-EDU,MASTER OF EDUCATION (RESEARCH),Master,50694,MYR,,,,,,
PHD-PHD-IN-EDU,DOCTOR OF PHILOSOPHY IN EDUCATION (RESEARCH),PhD,68944,MYR,,,,,,
PHD-PHD-IN-EDU-1,DOCTOR OF PHILOSOPHY IN EDUCATION (RESEARCH) (PRIOR PUBLICATION),PhD,49562,MYR,,,,,,
MST-MST-IN-FOO,MASTER OF FOOD STUDIES AND GASTRONOMY,Master,72924,MYR,,,,,,
MST-MST-IN-FOO-1,MASTER OF FOOD STUDIES (RESEARCH),Master,50694,MYR,,,,,,
PHD-PHD-IN-FOO,DOCTOR OF PHILOSOPHY IN FOOD STUDIES (RESEARCH),PhD,68944,MYR,,,,,,
PHD-PHD-IN-FOO-1,DOCTOR OF PHILOSOPHY IN FOOD STUDIES (RESEARCH) (PRIOR PUBLICATION),PhD,49562,MYR,,,,,,
MST-MST-IN-INT,MASTER OF INTERNATIONAL HOSPITALITY MANAGEMENT DUAL AWARD WITH UNIVERSITY OF TOULOUSE,Master,73724,MYR,,,,,,
MST-MST-IN-TOU,MASTER OF SCIENCE IN TOURISM (RESEARCH),Master,50694,MYR,,,,,,
PHD-PHD-IN-HOS,DOCTOR OF PHILOSOPHY IN HOSPITALITY AND TOURISM (RESEARCH),PhD,68944,MYR,,,,,,
PHD-PHD-IN-HOS-1,DOCTOR OF PHILOSOPHY IN HOSPITALITY AND TOURISM (RESEARCH) (PRIOR PUBLICATION),PhD,49562,MYR,,,,,,
MST-MST-IN-LAW,MASTER OF LAWS,Master,71924,MYR,,,,,,
MST-MST-IN-LAW-1,MASTER OF LAWS IN HEALTHCARE AND MEDICAL LAW,Master,71924,MYR,,,,,,
MST-MST-IN-LAW-2,MASTER OF LAWS IN HEALTHCARE AND MEDICAL LAW (BRIDGING MODULE),Master,77692,MYR,,,,,,
PHD-PHD-IN-LAW,DOCTOR OF PHILOSOPHY IN LAW (RESEARCH),PhD,68944,MYR,,,,,,
PHD-PHD-IN-LAW-1,DOCTOR OF PHILOSOPHY IN LAW (RESEARCH) (PRIOR PUBLICATION),PhD,49562,MYR,,,,,,
